Tanggal,Kasus Harian,Total kasus,Kasus aktif,% kasus aktif,Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),Meninggal Dunia,Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),Suspek aktif,Jumlah orang diperiksa,Negatif,Spesimen
19-Sep,2234,4190763,60969,1.45%,3989326,95.19%,96.60%,140468,3.35%,3.40%,"234,824",24221606,20030843,192413
20-Sep,1932,4192695,55936,1.33%,3996125,95.31%,96.60%,140634,3.35%,3.40%,"346,285",24372320,20179625,202795
21-Sep,3263,4195958,52447,1.25%,4002706,95.39%,96.60%,140805,3.36%,3.40%,"393,404",24548760,20352802,248657
22-Sep,2720,4198678,49662,1.18%,4008062,95.46%,96.60%,140954,3.36%,3.40%,"373,201",24734156,20535478,256163
23-Sep,2881,4201559,47957,1.14%,4012488,95.50%,96.60%,141114,3.36%,3.40%,"353,860",24908070,20706511,248125
24-Sep,2557,4204116,45803,1.09%,4017055,95.55%,96.60%,141258,3.36%,3.40%,"370,614",25081043,20876927,252596
25-Sep,2137,4206253,44071,1.05%,4020801,95.59%,96.60%,141381,3.36%,3.40%,"375,061",25262904,21056651,257803
26-Sep,1760,4208013,42769,1.02%,4023777,95.62%,96.60%,141467,3.36%,3.40%,"380,082",25411647,21203634,217084
27-Sep,1390,4209403,40270,0.96%,4027548,95.68%,96.60%,141585,3.36%,3.40%,"388,341",25563613,21354210,214591
28-Sep,2057,4211460,38652,0.92%,4031099,95.72%,96.60%,141709,3.36%,3.40%,"381,253",25757117,21545657,275768
29-Sep,1954,4213414,37412,0.89%,4034176,95.75%,96.60%,141826,3.37%,3.40%,"378,922",25954487,21741073,278567
30-Sep,1690,4215104,36141,0.86%,4037024,95.78%,96.60%,141939,3.37%,3.40%,"384,228",26148296,21933192,276135
1-Oct,1624,4216728,34867,0.83%,4039835,95.80%,96.60%,142026,3.37%,3.40%,"384,552",26319442,22102714,251368
2-Oct,1414,4218142,33812,0.80%,4042215,95.83%,96.60%,142115,3.37%,3.40%,"381,124",26479441,22261299,236653
3-Oct,1142,4219284,32876,0.78%,4044235,95.85%,96.60%,142173,3.37%,3.40%,"388,368",26640081,22420797,238058
4-Oct,922,4220206,31054,0.74%,4046891,95.89%,96.60%,142261,3.37%,3.40%,"108,264",26786789,22566583,211514
5-Oct,1404,4221610,29823,0.71%,4049449,95.92%,96.60%,142338,3.37%,3.40%,"139,156",26963512,22741902,255486
6-Oct,1484,4223094,28381,0.67%,4052300,95.96%,96.60%,142413,3.37%,3.40%,"170,894",27153742,22930648,274439
