New ID,ID,Bulan,Tanggal,Harga Beras,Harga Daging Ayam,Harga Daging Sapi,Harga Telor Ayam,Harga Bawang merah,Harga Bawang Putih,Harga Cabai Merah,Harga Cabai Rawit,Harga Minyak Goreng,Harga Gula Pasir,Harga Rata Rata Sembako
47,34,,18/12/2020,11800 ,36100 ,118850 ,28450 ,36700 ,28650 ,52650 ,48450 ,14400 ,14350 ,39040 
48,,,12/19/2020,11800 ,36150 ,118800 ,28580 ,36310 ,28580 ,54030 ,50480 ,14400 ,14350 ,39348 
49,,,12/20/2020,11800 ,36150 ,118800 ,28580 ,36310 ,28580 ,54030 ,50480 ,14400 ,14350 ,39348 
50,35,,21/12/2020,11800 ,36100 ,118850 ,28800 ,36150 ,28450 ,54950 ,51700 ,14400 ,14350 ,39555 
51,36,,22/12/2020,11800 ,36450 ,118800 ,28650 ,36000 ,28550 ,56600 ,53450 ,14400 ,14350 ,39905 
52,37,,23/12/2020,11800 ,36300 ,118850 ,28850 ,35850 ,28500 ,57300 ,53450 ,14400 ,14400 ,39970 
53,,,12/24/2020,11800 ,36160 ,118760 ,28390 ,35390 ,28540 ,56990 ,56710 ,14410 ,14380 ,40153 
54,,,12/25/2020,11800 ,36160 ,118760 ,28390 ,35390 ,28540 ,56990 ,56710 ,14410 ,14380 ,40153 
55,,,12/26/2020,11800 ,36160 ,118760 ,28390 ,35390 ,28540 ,56990 ,56710 ,14410 ,14380 ,40153 
56,,,12/27/2020,11800 ,36160 ,118760 ,28390 ,35390 ,28540 ,56990 ,56710 ,14410 ,14380 ,40153 
57,38,,28/12/2020,11800 ,36050 ,118350 ,28250 ,35000 ,28500 ,59550 ,58600 ,14400 ,14400 ,40490 
58,39,,29/12/2020,11800 ,36000 ,118450 ,28200 ,34800 ,28500 ,59050 ,59450 ,14400 ,14400 ,40505 
59,40,,30/12/2020,11800 ,36150 ,119150 ,28200 ,34650 ,28700 ,58250 ,59700 ,14450 ,14400 ,40545 
60,,,12/31/2020,11800 ,36110 ,118960 ,28010 ,34420 ,28520 ,57660 ,63380 ,14450 ,14410 ,40772 
60,,,1/1/2021,11800 ,36110 ,118960 ,28010 ,34420 ,28520 ,57660 ,63380 ,14450 ,14410 ,40772 
61,,,1/2/2021,11800 ,36110 ,118960 ,28010 ,34420 ,28520 ,57660 ,63380 ,14450 ,14410 ,40772 
62,,,1/3/2021,11800 ,36110 ,118960 ,28010 ,34420 ,28520 ,57660 ,63380 ,14450 ,14410 ,40772 
63,41,,04/01/2021,11800 ,36100 ,118750 ,27700 ,33950 ,28500 ,57550 ,68900 ,14450 ,14400 ,41210 
64,42,,05/01/2021,11800 ,36000 ,119300 ,27600 ,33850 ,28500 ,57350 ,68500 ,14500 ,14450 ,41185 
65,43,,06/01/2021,11800 ,36100 ,119400 ,27650 ,33700 ,28450 ,56350 ,68850 ,14500 ,14400 ,41120 
66,44,,07/01/2021,11800 ,36150 ,119400 ,27600 ,33550 ,28500 ,55900 ,69550 ,14500 ,14400 ,41135 
67,45,,08/01/2021,11800 ,35800 ,119450 ,27550 ,33350 ,28450 ,54900 ,69800 ,14500 ,14400 ,41000 
68,,,1/9/2021,11800 ,35840 ,119380 ,27490 ,33210 ,28360 ,54080 ,69800 ,14500 ,14400 ,40886 
69,,,1/10/2021,11800 ,35840 ,119380 ,27490 ,33210 ,28360 ,54080 ,69800 ,14500 ,14400 ,40886 
70,46,,11/01/2021,11800 ,35700 ,119350 ,27450 ,33050 ,28300 ,52850 ,69700 ,14500 ,14400 ,40710 
71,47,,12/01/2021,11800 ,35700 ,119300 ,27350 ,32900 ,28200 ,52650 ,70150 ,14500 ,14400 ,40695 
72,48,,13/01/2021,11800 ,35600 ,119250 ,27250 ,32950 ,28200 ,51800 ,69400 ,14500 ,14400 ,40515 
73,49,,14/01/2021,11800 ,35600 ,119250 ,27200 ,32950 ,28250 ,51250 ,69550 ,14500 ,14450 ,40480 
74,50,Jan,15/01/2021,11800 ,35400 ,119550 ,27100 ,32800 ,28350 ,51350 ,69900 ,14500 ,14450 ,40520 
75,,,1/16/2021,11800 ,35280 ,119360 ,26930 ,32750 ,28300 ,51760 ,69790 ,14500 ,14450 ,40492 
76,,,1/17/2021,11800 ,35280 ,119360 ,26930 ,32750 ,28300 ,51760 ,69790 ,14500 ,14450 ,40492 
77,51,,18/01/2021,11800 ,35100 ,119300 ,26800 ,32650 ,28350 ,52400 ,70100 ,14500 ,14450 ,40545 
78,52,,19/01/2021,11800 ,35000 ,119350 ,26600 ,32600 ,28250 ,52050 ,69600 ,14500 ,14450 ,40420 
79,53,,20/01/2021,11800 ,34850 ,119200 ,27400 ,32500 ,28250 ,51550 ,69150 ,14500 ,14450 ,40365 
80,54,,21/01/2021,11800 ,34750 ,118850 ,27300 ,32400 ,28250 ,50550 ,68200 ,14500 ,14400 ,40100 
81,55,,22/01/2021,11800 ,34750 ,118950 ,27250 ,32350 ,28200 ,49700 ,68100 ,14500 ,14400 ,40000 
82,,,1/23/2021,11800 ,34530 ,119330 ,27110 ,32150 ,28140 ,48850 ,67660 ,14500 ,14400 ,39847 
83,,,1/24/2021,11800 ,34530 ,119330 ,27110 ,32150 ,28140 ,48850 ,67660 ,14500 ,14400 ,39847 
